scope,feature,class,pi_f1cls_mean,pi_f1cls_std
1.0,knn_8__components,greedy,0.0012408240587260088,0.0053088847153854365
1.0,knn_8__clustering_avg,greedy,0.014739625632295361,0.01019199729986177
1.0,knn_12__degree_max,greedy,-0.0006973947523598812,0.008103270360267098
1.0,knn_12__degree_avg,greedy,-0.011870766985099479,0.004893540329771054
1.0,knn_12__components,greedy,0.004116398451727221,0.0038056601951125153
1.0,knn_12__clustering_avg,greedy,0.011105948189003945,0.005708106771312016
1.0,nng_plain__degree_max,greedy,0.004017216642754673,0.0032800436536551485
1.0,nng_plain__degree_avg,greedy,0.004119791545932228,0.003825396635265337
1.0,nng_plain__component_largest,greedy,2.3397224511834125e-05,0.005581625397708046
1.0,nng_plain__clustering_avg,greedy,0.0,0.0
1.0,delaunay__degree_max,greedy,-0.0017720797318085957,0.0033362107154626805
1.0,delaunay__degree_avg,greedy,-0.005764464749707843,0.01110304382886277
1.0,delaunay__clustering_avg,greedy,0.002663490597224527,0.0037261298701525255
1.0,mst__degree_avg,greedy,0.05511996005190158,0.02131330882993437
1.0,mst__mst_edge_sum,greedy,0.00032991634264172286,0.004733313512624466
1.0,mst__mst_edge_max,greedy,0.011339785391856917,0.008352266171072214
1.0,mst__mst_diameter,greedy,-0.0034394679234054813,0.0036186802443956057
1.0,mst__mst_edge_sum_per_sqrtA,greedy,0.01174489162989647,0.018797807190602374
1.0,mst__mst_edge_max_per_sqrtA,greedy,0.002579925423314422,0.0041411063290359516
1.0,mst__mst_edge_sum_units_s,greedy,0.0014897940795264742,0.011338744122970092
1.0,mst__mst_edge_sum_units_m,greedy,-0.004785280424350535,0.006584771101120871
1.0,budget,ils,0.34675953276810373,0.05124174783637125
1.0,nodes,ils,0.16843489014678775,0.019900697630388278
1.0,hull_vertices,ils,-0.010585129101145419,0.017597963237358127
1.0,hull_area,ils,-0.010871675402834402,0.005435837701417201
1.0,hull_perimeter,ils,0.0035958663739677154,0.011186785016926661
1.0,hull_compactness,ils,-0.00033469229275866484,0.008129668090886255
1.0,density,ils,0.029734402011629735,0.01272462204043211
1.0,budget_per_node,ils,0.13234721188605142,0.060942862728913555
1.0,rad_0_5__degree_min,ils,0.03372709137103487,0.008800680204352524
1.0,rad_0_5__degree_avg,ils,0.19222240496474896,0.01697607596465444
1.0,rad_0_5__clustering_avg,ils,0.0023598547176248317,0.006134086922489588
1.0,rad_1_0__clustering_avg,ils,0.011523900533971187,0.005191752125325062
1.0,knn_3__degree_max,ils,0.010693291136432559,0.005797550280720547
1.0,knn_3__degree_avg,ils,0.009520481459910713,0.005646867459663853
1.0,knn_3__components,ils,0.015818287711124056,0.008740484276249915
1.0,knn_3__component_largest,ils,0.0501418752220689,0.012257436752190883
1.0,knn_3__component_avg_size,ils,0.018735342922047305,0.005534636959025362
1.0,knn_3__clustering_avg,ils,0.002004690264944853,0.013549626899354196
1.0,knn_5__degree_max,ils,-0.0012277227722772288,0.0024554455445544576
1.0,knn_5__degree_avg,ils,0.01504130410182547,0.011347596288332637
1.0,knn_5__components,ils,0.004814599106969552,0.002407299553484776
1.0,knn_5__clustering_avg,ils,0.03210092437815211,0.01210250738478699
1.0,knn_8__degree_max,ils,0.007198526820129225,0.002360555872834569
1.0,knn_8__degree_avg,ils,0.012183423141727979,0.022599612776694054
1.0,knn_8__components,ils,0.0036109493302271646,0.002948327782033742
1.0,knn_8__clustering_avg,ils,0.019566446440562425,0.010308134715011989
1.0,knn_12__degree_max,ils,0.00882852420022131,0.01022916265509443
1.0,knn_12__degree_avg,ils,0.007372737273727359,0.010844033079752057
1.0,knn_12__components,ils,-0.0033097541621666116,0.0079344624567147
1.0,knn_12__clustering_avg,ils,0.02632232202812119,0.007618974710091552
1.0,nng_plain__degree_max,ils,0.0036109493302271646,0.002948327782033742
1.0,nng_plain__degree_avg,ils,0.00917020542716751,0.011633803057173776
1.0,nng_plain__component_largest,ils,0.0036109493302271646,0.002948327782033742
1.0,nng_plain__clustering_avg,ils,0.0,0.0
1.0,delaunay__degree_max,ils,-4.814599106968131e-05,0.00543676759386906
1.0,delaunay__degree_avg,ils,0.02970669693699606,0.018319382480298615
1.0,delaunay__clustering_avg,ils,0.0012424771888953634,0.016451830192654004
1.0,mst__degree_avg,ils,0.17236327373862964,0.025259326405834948
1.0,mst__mst_edge_sum,ils,0.02401260534216687,0.011311325050558523
1.0,mst__mst_edge_max,ils,-0.004103675067290857,0.007072975929059204
1.0,mst__mst_diameter,ils,0.01460661450760461,0.004099699413348388
1.0,mst__mst_edge_sum_per_sqrtA,ils,0.03266948886966829,0.018962012512865754
1.0,mst__mst_edge_max_per_sqrtA,ils,0.007104710471047104,0.006208762627221705
1.0,mst__mst_edge_sum_units_s,ils,-0.007759226258697583,0.014148164533328638
1.0,mst__mst_edge_sum_units_m,ils,0.0021026537042844406,0.012818643676911805
1.0,budget,vns,-0.0023419484255029267,0.004171093107222114
1.0,nodes,vns,0.012469683909155904,0.002799040897055669
1.0,hull_vertices,vns,-0.00016508919296438497,0.0029000245142550528
1.0,hull_area,vns,0.0008466677834145564,0.0017121853764225107
1.0,hull_perimeter,vns,0.0004464117942922563,0.0006332290201350518
1.0,hull_compactness,vns,0.0016561054701742072,0.0017370454228917884
1.0,density,vns,-0.000841720321736128,0.0022917044036441696
1.0,budget_per_node,vns,-0.00012782851688029063,0.0026344873248385745
1.0,rad_0_5__degree_min,vns,-0.0021914135406826186,0.002651229205755095
1.0,rad_0_5__degree_avg,vns,-0.0007157006945780475,0.0028530732765597935
1.0,rad_0_5__clustering_avg,vns,0.0016995038236051973,0.001839603717564514
1.0,rad_1_0__clustering_avg,vns,-0.0007275183685564235,0.0013470764532659432
1.0,knn_3__degree_max,vns,0.0015355459744393896,0.0016650941087048645
1.0,knn_3__degree_avg,vns,0.0009720872101097288,0.0011905588251272486
1.0,knn_3__components,vns,0.0019027347565410135,0.0009523046388814078
1.0,knn_3__component_largest,vns,-0.0011340671045505068,0.0033482869353259693
1.0,knn_3__component_avg_size,vns,0.00028351016083987267,0.0009721411317176676
1.0,knn_3__clustering_avg,vns,-0.0014584484703107803,0.0018361241828223178
1.0,knn_5__degree_max,vns,0.0004866839787110777,0.0005960637069148458
1.0,knn_5__degree_avg,vns,-0.003449198883407867,0.0019799620511991847
1.0,knn_5__components,vns,0.00024334198935553885,0.0004866839787110777
1.0,knn_5__clustering_avg,vns,0.000447579430275824,0.001831123001502023
1.0,knn_8__degree_max,vns,-0.000811319367431862,0.0006663895525029258
1.0,knn_8__degree_avg,vns,-0.00016173206135390307,0.0018367583230344908
1.0,knn_8__components,vns,-0.0007319547024604133,0.0005976385119528985
1.0,knn_8__clustering_avg,vns,0.003672811540893428,0.0019730862785628466
1.0,knn_12__degree_max,vns,4.0916062212303925e-05,0.0012349076676075954
1.0,knn_12__degree_avg,vns,-0.00040453684609382813,0.0019296111376274148
1.0,knn_12__components,vns,-0.0005673344666117242,0.0006948399783463919
1.0,knn_12__clustering_avg,vns,-0.002460704429185112,0.0029933644171514103
1.0,nng_plain__degree_max,vns,0.0,0.0
1.0,nng_plain__degree_avg,vns,0.0019026777745316582,0.0012640807276616524
1.0,nng_plain__component_largest,vns,0.0006891134099915819,0.0010052365399995631
1.0,nng_plain__clustering_avg,vns,0.0,0.0
1.0,delaunay__degree_max,vns,0.0002039756264124115,0.0010619571581438922
1.0,delaunay__degree_avg,vns,0.0010119930118210664,0.0007774085034575006
1.0,delaunay__clustering_avg,vns,-0.0010505579934117827,0.0024335862294837846
1.0,mst__degree_avg,vns,0.013227498574416163,0.004086882658240094
1.0,mst__mst_edge_sum,vns,0.0017343205583229882,0.0021104693286971067
1.0,mst__mst_edge_max,vns,-0.0008515421588480843,0.0022942012543982733
1.0,mst__mst_diameter,vns,-0.0005283473969527108,0.0013064949009518856
1.0,mst__mst_edge_sum_per_sqrtA,vns,0.0038124585447710134,0.0049465514484758714
1.0,mst__mst_edge_max_per_sqrtA,vns,-0.0007326001651609682,0.0019337488926756846
1.0,mst__mst_edge_sum_units_s,vns,0.0015788996354530794,0.001034851855110769
1.0,mst__mst_edge_sum_units_m,vns,-0.002757150745809356,0.002290530868216129
